system   I             system.c:245  al_install_system                [   0.00284] Allegro version: 5.1.12 (WIP)
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.00430] Loading DirectSound module
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00494] Also searching C:\Users\jquin\OneDrive\Escritorio\Image campus\2do año\Programacion de graficos\TP3LibreriaAllegro\TP3\bin\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00563] PathFindOnPath found: C:\WINDOWS\system32\dsound.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00570] Calling LoadLibrary C:\WINDOWS\system32\dsound.dll
system   I            wsystem.c:638  load_library_at_path             [   0.00690] Loaded C:\WINDOWS\system32\dsound.dll
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00702] Starting DirectSound...
audio-dsound D           dsound.cpp:285  _dsound_open                     [   0.04281] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.04778] Using DirectSound driver
wav      I                wav.c:107  wav_open                         [   0.04832] Ignoring chunk: LIST
dtor     D               dtor.c:184  _al_register_destructor          [   0.04859] added dtor for object 00FF1230, func 62AF13E3
wav      I                wav.c:107  wav_open                         [   0.04898] Ignoring chunk: LIST
dtor     D               dtor.c:184  _al_register_destructor          [   0.04962] added dtor for object 00FF1278, func 62AF13E3
wav      I                wav.c:107  wav_open                         [   0.05025] Ignoring chunk: LIST
dtor     D               dtor.c:184  _al_register_destructor          [   0.06627] added dtor for object 00FF13E0, func 62AF13E3
audio-dsound D           dsound.cpp:320  _dsound_allocate_voice           [   0.08269] Allocating voice
audio-dsound D           dsound.cpp:379  _dsound_allocate_voice           [   0.08283] Allocated voice
dtor     D               dtor.c:184  _al_register_destructor          [   0.08287] added dtor for object 00FF0348, func 62AF1177
dtor     D               dtor.c:184  _al_register_destructor          [   0.08295] added dtor for object 00FEFDD8, func 62AF11F4
audio-dsound D           dsound.cpp:476  _dsound_start_voice              [   0.08306] Starting voice
audio-dsound D           dsound.cpp:504  _dsound_start_voice              [   0.08310] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.08802] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.08821] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.08860] Voice started
dtor     D               dtor.c:184  _al_register_destructor          [   0.08871] added dtor for object 00FC7F70, func 62AF14B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08894] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08899] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08907] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.08916] added dtor for object 00FC7D60, func 62AF14B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08938] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08941] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08945] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.08949] added dtor for object 00FC89C0, func 62AF14B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08952] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08956] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08959] 
system   D            wsystem.c:674  maybe_parent_dir                 [   0.09028] Also searching C:\Users\jquin\OneDrive\Escritorio\Image campus\2do año\Programacion de graficos\TP3LibreriaAllegro\TP3\bin\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.09086] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.09093] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.09394] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.14356] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.14529] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.14540] al_display=045A4170
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.14543] al_display->vt=045A3E88
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.18109] found 288 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.18122] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18129] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18132] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18137] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18140] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18144] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.18148] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18152] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.18156] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18160] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.18163] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18167] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.18171] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18175] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.18179] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18183] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.18186] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18191] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.18194] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18199] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18202] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18206] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18210] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
